fold,train_start,train_end,test_start,test_end,n_train,n_test,test_window_size,mae,rmse,mape,r2,model
25,2024-01-01 00:00:00+00:00,2025-08-29 13:00:00+00:00,2025-08-29 14:00:00+00:00,2025-09-05 13:00:00+00:00,14557,168,168,62682.98356428683,76445.31097725111,5.850054062126202,0.9194436477770245,lasso
26,2024-01-01 00:00:00+00:00,2025-09-05 13:00:00+00:00,2025-09-05 14:00:00+00:00,2025-09-12 13:00:00+00:00,14725,168,168,64894.86125954391,83537.19128503457,6.28030430244423,0.9460243103558443,lasso
27,2024-01-01 00:00:00+00:00,2025-09-12 13:00:00+00:00,2025-09-12 14:00:00+00:00,2025-09-19 13:00:00+00:00,14893,168,168,43934.90208132465,58321.87440362179,6.701731965621982,0.9496509987721826,lasso
28,2024-01-01 00:00:00+00:00,2025-09-19 13:00:00+00:00,2025-09-19 14:00:00+00:00,2025-09-26 13:00:00+00:00,15061,168,168,56966.46635446172,73707.0592611775,6.900159020022828,0.9741502446483861,lasso
29,2024-01-01 00:00:00+00:00,2025-09-26 13:00:00+00:00,2025-09-26 14:00:00+00:00,2025-10-03 13:00:00+00:00,15229,168,168,48720.08201991811,66196.00131197278,6.331237987591373,0.9879719142591679,lasso
30,2024-01-01 00:00:00+00:00,2025-10-03 13:00:00+00:00,2025-10-03 14:00:00+00:00,2025-10-10 13:00:00+00:00,15397,168,168,54563.00790594196,81081.40146931108,6.288661132509373,0.9537844827888892,lasso
31,2024-01-01 00:00:00+00:00,2025-10-10 13:00:00+00:00,2025-10-10 14:00:00+00:00,2025-10-17 13:00:00+00:00,15565,168,168,35362.230494897325,52327.19378762935,7.502999495042781,0.9627218419741372,lasso
32,2024-01-01 00:00:00+00:00,2025-10-17 13:00:00+00:00,2025-10-17 14:00:00+00:00,2025-10-24 13:00:00+00:00,15733,168,168,57431.52955484589,77777.49425144658,5.6988937497475005,0.9818582396144635,lasso
33,2024-01-01 00:00:00+00:00,2025-10-24 13:00:00+00:00,2025-10-24 14:00:00+00:00,2025-10-31 13:00:00+00:00,15901,167,168,57386.72789954802,70951.97840962355,7.539225373387244,0.9782926365430069,lasso
34,2024-01-01 00:00:00+00:00,2025-10-31 13:00:00+00:00,2025-10-31 14:00:00+00:00,2025-11-07 13:00:00+00:00,16068,168,168,71436.97959735713,91729.32288578278,6.602766341361492,0.9780503082510638,lasso
